city,lat,lon,state
Anchorage,61.2180556,-149.9002778,AK
Fairbanks,64.8377778,-147.7163889,AK
Juneau,58.3019444,-134.4197222,AK
Birmingham,33.5206608,-86.80249,AL
Dothan,31.2232313,-85.3904888,AL
Decatur,34.6059253,-86.9833417,AL
Florence,34.79981,-87.677251,AL
Pensacola,30.421309,-87.2169149,FL
Ft. Walton Beach,30.4057552,-86.618842,FL
Montgomery,32.3668052,-86.2999689,AL
Selma,32.4073589,-87.0211007,AL
Rogers,36.3320196,-94.1185366,AR
Jonesboro,35.8422967,-90.704279,AR
Pine Bluff,34.2284312,-92.0031955,AR
El Dorado,-34.6508789,-61.5838585,AR
Phoenix,33.4483771,-112.0740373,AZ
Tucson,32.2217429,-110.926479,AZ
Sierra Vista,31.5455001,-110.2772856,AZ
El Centro,32.792,-115.5630514,CA
Bakersfield,35.3732921,-119.0187125,CA
Redding,40.5865396,-122.3916754,CA
Eureka,40.8020712,-124.1636729,CA
Visalia,36.3302284,-119.2920585,CA
Los Angeles,34.0522342,-118.2436849,CA
Salinas,36.6777372,-121.6555013,CA
Palm Springs,33.8302961,-116.5452921,CA
Modesto,37.6390972,-120.9968782,CA
San Diego,32.7153292,-117.1572551,CA
San Jose,37.3393857,-121.8949555,CA
San Luis Obispo,35.2827524,-120.6596156,CA
El Centro,32.792,-115.5630514,CA
Pueblo,38.2544472,-104.6091409,CO
Denver,39.7391536,-104.9847034,CO
Montrose,38.4783198,-107.8761738,CO
Hartford,41.7637111,-72.6850932,CT
New Haven,41.3081527,-72.9281577,CT
Washington DC,38.8951118,-77.0363658,MD
Hagerstown,39.6417629,-77.7199932,MD
Naples,26.1420358,-81.7948103,FL
Gainesville,29.6516344,-82.3248262,FL
Jacksonville,30.3321838,-81.655651,FL
Ft. Lauderdale,26.1223084,-80.1433786,FL
Pensacola,30.421309,-87.2169149,FL
Ft. Walton Beach,30.4057552,-86.618842,FL
Melbourne,28.0836269,-80.6081089,FL
Panama City,30.1588129,-85.6602058,FL
Thomasville,30.8365815,-83.9787808,GA
St. Petersburg,27.782254,-82.667619,FL
Sarasota,27.3364347,-82.5306527,FL
Ft. Pierce,27.4467056,-80.3256056,FL
Albany,31.5785074,-84.155741,GA
Atlanta,33.7489954,-84.3879824,GA
Augusta,33.47,-81.975,GA
Columbus,32.4609764,-84.9877094,GA
Macon,32.8406946,-83.6324022,GA
Savannah,32.0835407,-81.0998342,GA
Thomasville,30.8365815,-83.9787808,GA
Honolulu,21.3069444,-157.8583333,HI
Iowa City,41.677204,-91.5162792,IA
Moline,41.5067003,-90.5151342,IL
Ames,42.02335,-93.625622,IA
Kirksville,40.1947539,-92.5832496,MO
Keokuk,40.402525,-91.394372,IA
Austin,43.6666296,-92.9746367,MN
Sioux City,42.4999942,-96.4003069,IA
Boise,43.613739,-116.237651,ID
Pocatello,42.8713032,-112.4455344,ID
Twin Falls,42.5629668,-114.4608711,ID
Champaign,39.8403147,-88.9548001,IL
Springfield,39.8403147,-88.9548001,IL
Decatur;,39.8403147,-88.9548001,IL
Chicago,41.850033,-87.6500523,IL
Moline,41.5067003,-90.5151342,IL
Mount Vernon,38.3172714,-88.9031201,IL
Bloomington,40.4842027,-88.9936873,IL
Keokuk,40.402525,-91.394372,IA
Rockford,42.2711311,-89.0939952,IL
Evansville,37.9747644,-87.5558482,IN
Ft. Wayne,41.1306041,-85.1288597,IN
Indianapolis,39.7683765,-86.1580423,IN
Lafayette,40.4167022,-86.8752869,IN
Elkhart,41.6819935,-85.9766671,IN
Terre Haute,39.4667034,-87.4139092,IN
Pittsburg,37.410884,-94.70496,KS
Topeka,39.0483336,-95.6780371,KS
Hutchinson,38.0608445,-97.9297743,KS
Bowling Green,36.9903199,-86.4436018,KY
Lexington,38.0317136,-84.4951359,KY
Louisville,38.2542376,-85.759407,KY
Mount Vernon,38.3172714,-88.9031201,IL
Alexandria,31.3112936,-92.4451371,LA
Baton Rouge,30.4507462,-91.154551,LA
Lafayette,30.2240897,-92.0198427,LA
Lake Charles,30.2265949,-93.2173758,LA
El Dorado,-34.6508789,-61.5838585,AR
New Orleans,29.9647222,-90.0705556,LA
Shreveport,32.5251516,-93.7501789,LA
Manchester,42.9956397,-71.4547891,NH
New Bedford,41.6362152,-70.934205,MA
Holyoke,42.2042586,-72.6162009,MA
Baltimore,39.2903848,-76.6121893,MD
Salisbury,38.3606736,-75.5993692,MD
Bangor,44.8011821,-68.7778138,ME
Auburn,44.0978509,-70.2311655,ME
Presque Isle,46.681153,-68.0158615,ME
Alpena,45.0616794,-83.4327528,MI
Detroit,42.331427,-83.0457538,MI
Bay City,43.5944677,-83.8888647,MI
Battle Creek,42.3211522,-85.1797142,MI
Lansing,42.732535,-84.5555347,MI
Marquette,46.5435442,-87.395417,MI
Cadillac,44.2519526,-85.4011619,MI
Superior,46.7207737,-92.1040796,WI
Mankato,44.1635775,-93.9993996,MN
St. Paul,44.944167,-93.086075,MN
Austin,43.6666296,-92.9746367,MN
Jefferson City,38.5767017,-92.1735164,MO
Pittsburg,37.410884,-94.70496,KS
Kansas City,39.0997265,-94.5785667,MO
Kirksville,40.1947539,-92.5832496,MO
Mount Vernon,38.3172714,-88.9031201,IL
Keokuk,40.402525,-91.394372,IA
Springfield,37.215326,-93.2982436,MO
St. Joseph,39.7577778,-94.8363889,MO
St. Louis,38.646991,-90.224967,MO
Gulfport,30.3674198,-89.0928155,MS
West Point,33.6076186,-88.6503254,MS
Greenville,33.4101161,-91.0617735,MS
Laurel,31.6940509,-89.1306124,MS
Jackson,32.2987573,-90.1848103,MS
Meridian,32.3643098,-88.703656,MS
Billings,45.7832856,-108.5006904,MT
Bozeman,45.68346,-111.050499,MT
Glendive,47.108491,-104.710419,MT
Great Falls,47.5002354,-111.3008083,MT
Helena,46.595805,-112.027031,MT
Missoula,46.872146,-113.9939982,MT
Charlotte,35.2270869,-80.8431267,NC
Winston Salem,36.0998596,-80.244216,NC
Washington,35.5465517,-77.0521742,NC
Anderson,34.5034394,-82.6501332,SC
Durham,35.9940329,-78.898619,NC
Fayetteville,35.0526641,-78.8783585,NC
