msa,year,firms,job_births,job_continues,job_destruction
10180,1977,2773,3573,6755,7002
10420,1977,9599,14000,22973,30136
10500,1977,2282,3204,2814,4664
10580,1977,11274,15482,22509,28456
10740,1977,8421,14296,14676,22851
10780,1977,2100,1996,3050,4453
10900,1977,10320,14558,23861,27696
11020,1977,2173,2553,3026,4183
11100,1977,3918,5946,6984,9893
11180,1977,1240,1563,1961,1847
11260,1977,3467,8664,9833,21690
11300,1977,1997,2339,2923,3973
11340,1977,1899,2595,3580,4252
11460,1977,3740,6452,12412,9559
11500,1977,1614,2413,2527,4332
11540,1977,2649,4228,4969,5446
11700,1977,4564,5545,7158,10454
12020,1977,1797,2406,2841,3198
12060,1977,34567,86669,92415,129674
12100,1977,3590,2917,5181,8451
12220,1977,948,2267,1362,1960
12260,1977,4983,6455,8218,9899
12420,1977,9549,24234,21279,23548
12540,1977,6014,9490,11877,13963
12580,1977,30081,44194,67686,87924
12620,1977,2265,1956,3302,7600
12700,1977,3367,2851,4305,4966
12940,1977,8128,13962,21457,21586
12980,1977,2150,2932,3613,5383
13020,1977,1730,1771,3807,3575
13140,1977,5522,9531,12551,17098
13380,1977,2061,3186,2510,3790
13460,1977,1340,1736,1913,2058
13740,1977,2787,3961,4625,6066
13780,1977,3772,4808,6582,9015
13820,1977,13506,26053,32677,41804
13900,1977,1649,2075,2505,3362
13980,1977,1650,2428,3173,3727
14020,1977,2042,2335,2607,5107
14060,1977,1957,3194,4297,4287
14260,1977,5066,8526,15252,13279
14460,1977,65078,116439,167496,183923
14500,1977,3522,6948,6189,8385
14540,1977,1398,1960,1905,3709
14740,1977,1886,3418,2290,2991
14860,1977,16083,20829,42464,32365
15180,1977,2937,4051,3717,8921
15260,1977,1324,2458,1979,3175
15380,1977,18485,29170,73748,51401
15500,1977,1747,2317,2903,5676
15540,1977,2763,3208,5989,4927
15940,1977,6091,7404,11024,15457
15980,1977,3551,5911,5418,6265
16020,1977,1707,2053,2566,3960
16180,1977,685,1159,815,1215
16220,1977,1906,2800,3694,3044
16300,1977,3893,5082,5773,8439
16580,1977,3373,5063,4927,8317
16620,1977,4973,8516,26567,15756
16700,1977,5637,8210,8703,15589
16740,1977,14373,26973,35756,42386
16820,1977,2126,2564,2857,20586
16860,1977,6353,10068,13262,21064
16940,1977,1324,2092,1948,3078
16980,1977,119847,224654,354815,389009
17020,1977,2576,3500,3119,3538
17140,1977,25116,43004,59281,69130
17300,1977,2316,2491,3228,4489
17420,1977,1155,1705,3247,2918
17460,1977,33747,57284,80294,110189
17660,1977,1058,1378,1179,1830
17780,1977,1694,2483,2666,2750
17820,1977,5033,8343,7195,11668
17860,1977,1902,2437,2226,3611
17900,1977,7395,11813,13503,19319
17980,1977,828,1069,1128,2285
18020,1977,1093,1682,3038,2668
18140,1977,18196,38782,59697,57685
18580,1977,5721,8509,8586,14126
18700,1977,1171,1831,1170,1993
18880,1977,1724,2492,1814,3914
19060,1977,1696,1819,1797,4602
19100,1977,48953,115321,154758,168478
19140,1977,1654,2087,4288,4335
19180,1977,1672,1688,2202,4406
19260,1977,1654,2379,2381,2779
19340,1977,6613,10841,12928,15900
19380,1977,11686,17393,24721,33788
19460,1977,1705,2220,2452,4611
19500,1977,2181,3196,4215,5917
19660,1977,4482,7785,5611,9975
19740,1977,25923,48687,60735,81941
19780,1977,7923,12249,15274,21631
19820,1977,57768,102182,187535,181624
20020,1977,2078,2147,3529,5186
20100,1977,1560,1911,2506,3129
20220,1977,1737,1644,3671,3088
20260,1977,4705,5967,7697,13216
20500,1977,4173,6039,7465,11434
20740,1977,2178,2535,3231,4498
20940,1977,1483,2191,1516,3227
21060,1977,1133,1091,1777,1594
21140,1977,2850,5224,9733,7178
21300,1977,1533,2441,4005,5254
21340,1977,6064,10225,11223,23293
21500,1977,4333,6722,8317,11665
21660,1977,5080,7408,8738,9787
21780,1977,5635,9257,10193,12182
21820,1977,938,2599,3592,11040
22020,1977,2909,3731,4983,6962
22140,1977,1264,2348,2147,3119
22180,1977,3024,6114,4370,10350
22220,1977,3133,3714,5703,6512
22380,1977,1125,1776,2088,2285
22420,1977,5391,7142,17176,12409
22500,1977,2848,3007,3537,6507
22520,1977,2058,2189,2881,4342
22540,1977,1552,1766,2607,2958
22660,1977,2704,4451,3648,4151
22900,1977,3465,4745,17615,7689
23060,1977,5542,8093,14942,14955
23420,1977,8978,12349,15949,19428
23460,1977,1543,1813,2379,3488
23540,1977,2360,3758,2779,5508
23580,1977,1340,2107,6910,2289
24020,1977,1784,3238,2425,3908
24140,1977,1497,1750,2524,2536
24220,1977,1905,2545,2275,3276
24300,1977,1728,2712,2392,3987
24340,1977,8908,12307,21022,22441
24500,1977,1721,2943,9102,3071
24540,1977,1938,2499,11939,4351
24580,1977,3820,4898,6938,8170
