city,state,year,firms,job_births,job_continuers,job_destruction,lat,lon
Akron,OH,1977,9599,14000,22973,30136,41.0814447,-81.5190053
Albany,GA,1977,2282,3204,2814,4664,31.5785074,-84.155741
Alexandria,LA,1977,2100,1996,3050,4453,31.3112936,-92.4451371
Altoona,PA,1977,2173,2553,3026,4183,40.5186809,-78.3947359
Amarillo,TX,1977,3918,5946,6984,9893,35.2219971,-101.8312969
Ames,IA,1977,1240,1563,1961,1847,42.02335,-93.625622
Anchorage,AK,1977,3467,8664,9833,21690,61.2180556,-149.9002778
Anderson,SC,1977,1899,2595,3580,4252,34.5034394,-82.6501332
Appleton,WI,1977,2649,4228,4969,5446,44.2619309,-88.4153847
Atlanta,GA,1977,34567,86669,92415,129674,33.7489954,-84.3879824
Augusta,GA,1977,4983,6455,8218,9899,33.47,-81.975
Austin,TX,1977,9549,24234,21279,23548,30.267153,-97.7430608
Bakersfield,CA,1977,6014,9490,11877,13963,35.3732921,-119.0187125
Baltimore,MD,1977,30081,44194,67686,87924,39.2903848,-76.6121893
Bangor,ME,1977,2265,1956,3302,7600,44.8011821,-68.7778138
Baton Rouge,LA,1977,8128,13962,21457,21586,30.4507462,-91.154551
Battle Creek,MI,1977,2150,2932,3613,5383,42.3211522,-85.1797142
Bay City,MI,1977,1730,1771,3807,3575,43.5944677,-83.8888647
Bend,OR,1977,1340,1736,1913,2058,44.0581728,-121.3153096
Billings,MT,1977,2787,3961,4625,6066,45.7832856,-108.5006904
Binghamton,NY,1977,3772,4808,6582,9015,42.0986867,-75.9179738
Birmingham,AL,1977,13506,26053,32677,41804,33.5206608,-86.80249
Bloomington,IL,1977,1957,3194,4297,4287,40.4842027,-88.9936873
Bowling Green,KY,1977,1398,1960,1905,3709,36.9903199,-86.4436018
Buffalo,NY,1977,18485,29170,73748,51401,42.8864468,-78.8783689
Canton,OH,1977,6091,7404,11024,15457,40.7989473,-81.378447
Champaign,IL,1977,3373,5063,4927,8317,39.8403147,-88.9548001
Charleston,SC,1977,5637,8210,8703,15589,32.7765656,-79.9309216
Charlotte,NC,1977,14373,26973,35756,42386,35.2270869,-80.8431267
Charlottesville,VA,1977,2126,2564,2857,20586,38.0293059,-78.4766781
Chattanooga,TN,1977,6353,10068,13262,21064,35.0456297,-85.3096801
Chicago,IL,1977,119847,224654,354815,389009,41.850033,-87.6500523
Cincinnati,OH,1977,25116,43004,59281,69130,39.1361111,-84.5030556
Columbia,SC,1977,7395,11813,13503,19319,34.0007104,-81.0348144
Columbus,GA,1977,828,1069,1128,2285,32.4609764,-84.9877094
Columbus,OH,1977,18196,38782,59697,57685,39.9611755,-82.9987942
Corpus Christi,TX,1977,5721,8509,8586,14126,27.8005828,-97.396381
Dayton,OH,1977,11686,17393,24721,33788,39.7589478,-84.1916069
Decatur,AL,1977,1705,2220,2452,4611,34.6059253,-86.9833417
Denver,CO,1977,25923,48687,60735,81941,39.7391536,-104.9847034
Detroit,MI,1977,57768,102182,187535,181624,42.331427,-83.0457538
Dothan,AL,1977,2078,2147,3529,5186,31.2232313,-85.3904888
Durham,NC,1977,4173,6039,7465,11434,35.9940329,-78.898619
Eau Claire,WI,1977,2178,2535,3231,4498,44.811349,-91.4984941
El Centro,CA,1977,1483,2191,1516,3227,32.792,-115.5630514
Elkhart,IN,1977,2850,5224,9733,7178,41.6819935,-85.9766671
Elmira,NY,1977,1533,2441,4005,5254,42.0897965,-76.8077338
El Paso,TX,1977,6064,10225,11223,23293,31.7587198,-106.4869314
Erie,PA,1977,4333,6722,8317,11665,42.1292241,-80.085059
Eugene,OR,1977,5080,7408,8738,9787,44.0520691,-123.0867536
Evansville,IN,1977,5635,9257,10193,12182,37.9747644,-87.5558482
Fairbanks,AK,1977,938,2599,3592,11040,64.8377778,-147.7163889
Fayetteville,NC,1977,3024,6114,4370,10350,35.0526641,-78.8783585
Florence,AL,1977,2058,2189,2881,4342,34.79981,-87.677251
Gainesville,FL,1977,2360,3758,2779,5508,29.6516344,-82.3248262
Great Falls,MT,1977,1721,2943,9102,3071,47.5002354,-111.3008083
Gulfport,MS,1977,2813,5419,4947,6990,30.3674198,-89.0928155
Hagerstown,MD,1977,2638,3972,4723,5824,39.6417629,-77.7199932
Harrisonburg,VA,1977,1267,1150,1852,2510,38.4495688,-78.8689155
Hartford,CT,1977,18015,22681,48220,55632,41.7637111,-72.6850932
Honolulu,HI,1977,11678,22287,23324,33226,21.3069444,-157.8583333
Houston,TX,1977,45330,114748,136325,171771,29.7628844,-95.3830615
Huntington,WV,1977,4478,5935,7468,9464,38.4192496,-82.445154
Indianapolis,IN,1977,18203,29290,44516,70682,39.7683765,-86.1580423
Iowa City,IA,1977,1812,2178,2409,3350,41.677204,-91.5162792
Jackson,MS,1977,6910,9583,15919,16806,32.2987573,-90.1848103
Jackson,TN,1977,1587,2402,2771,3505,35.6145169,-88.8139469
Jacksonville,FL,1977,11836,19023,29332,37549,30.3321838,-81.655651
Jefferson City,MO,1977,1974,3273,2193,3319,38.5767017,-92.1735164
Jonesboro,AR,1977,1684,2226,2540,3018,35.8422967,-90.704279
Kansas City,MO,1977,24726,46292,58420,73545,39.0997265,-94.5785667
Kennewick,WA,1977,2152,4014,4019,4854,46.2112458,-119.1372338
Knoxville,TN,1977,8015,10688,13190,20219,35.9606384,-83.9207392
Lafayette,IN,1977,2282,2342,3051,4692,40.4167022,-86.8752869
Lafayette,LA,1977,3442,6129,7099,10678,30.2240897,-92.0198427
Lake Charles,LA,1977,2748,4496,5059,5644,30.2265949,-93.2173758
Lansing,MI,1977,5365,7691,12719,13216,42.732535,-84.5555347
Laredo,TX,1977,1492,2288,1669,3631,27.506407,-99.5075421
Las Vegas,NV,1977,6418,12756,17074,19494,36.114646,-115.172816
Lawton,OK,1977,1508,1595,2123,2778,34.6086854,-98.3903305
Lexington,KY,1977,5516,7721,11164,16747,38.0317136,-84.4951359
Lima,OH,1977,2046,4030,2729,4792,40.742551,-84.1052256
Longview,TX,1977,3325,3561,5613,6257,32.5007037,-94.7404891
Los Angeles,CA,1977,152919,367678,454824,515142,34.0522342,-118.2436849
Lubbock,TX,1977,4527,6654,6825,11966,33.5778631,-101.8551665
Lynchburg,VA,1977,3005,2365,14606,6423,37.4137536,-79.1422464
Macon,GA,1977,3379,4934,6266,8353,32.8406946,-83.6324022
Madison,WI,1977,7091,8919,11210,14275,43.0730517,-89.4012302
Manchester,NH,1977,4982,6649,10664,12608,42.9956397,-71.4547891
Mankato,MN,1977,1563,1972,2159,3555,44.1635775,-93.9993996
McAllen,TX,1977,3509,5312,5724,8416,26.2034071,-98.2300124
Memphis,TN,1977,14495,41764,41299,46991,35.1495343,-90.0489801
Midland,TX,1977,2145,3934,3976,6162,31.9973456,-102.0779146
Milwaukee,WI,1977,22731,33052,54338,66631,43.0389025,-87.9064736
Missoula,MT,1977,1764,2379,2270,2751,46.872146,-113.9939982
Modesto,CA,1977,4147,7191,6890,8843,37.6390972,-120.9968782
Montgomery,AL,1977,4369,7251,7363,11577,32.3668052,-86.2999689
Myrtle Beach,SC,1977,2192,2455,4064,3730,33.6890603,-78.8866943
Naples,FL,1977,1956,3331,2058,3543,26.1420358,-81.7948103
Nashville,TN,1977,14435,25558,33670,42820,36.1658899,-86.7844432
New Haven,CT,1977,13531,19706,33505,27019,41.3081527,-72.9281577
New Orleans,LA,1977,18866,35879,45141,62217,29.9647222,-90.0705556
New York,NY,1977,315279,418573,604409,865740,40.7142691,-74.0059729
Oklahoma City,OK,1977,15596,26889,28111,39625,35.4675602,-97.5164276
Omaha,NE,1977,11144,18833,27772,33912,41.254006,-95.999258
Panama City,FL,1977,1839,3275,1958,5040,30.1588129,-85.6602058
Parkersburg,WV,1977,2757,2632,3956,5416,39.2667418,-81.5615135
