msa,fipstate,fipscty,name_county,micro-metro,state1,city,city2,city3,city4,city5,city6,city7
10020,22,113,"Vermilion Parish, Louisiana",Micropolitan,LA,Abbeville,,,,,,
10100,46,13,"Brown County, South Dakota",Micropolitan,SD,Aberdeen,,,,,,
10100,46,45,"Edmunds County, South Dakota",Micropolitan,SD,Aberdeen,,,,,,
10140,53,27,"Grays Harbor County, Washington",Micropolitan,WA,Aberdeen,,,,,,
10180,48,59,"Callahan County, Texas",Metropolitan,TX,Abilene,,,,,,
10180,48,253,"Jones County, Texas",Metropolitan,TX,Abilene,,,,,,
10180,48,441,"Taylor County, Texas",Metropolitan,TX,Abilene,,,,,,
10220,40,123,"Pontotoc County, Oklahoma",Micropolitan,OK,Ada,,,,,,
10300,26,91,"Lenawee County, Michigan",Micropolitan,MI,Adrian,,,,,,
10420,39,133,"Portage County, Ohio",Metropolitan,OH,Akron,,,,,,
10420,39,153,"Summit County, Ohio",Metropolitan,OH,Akron,,,,,,
10460,35,35,"Otero County, New Mexico",Micropolitan,NM,Alamogordo,,,,,,
10500,13,7,"Baker County, Georgia",Metropolitan,GA,Albany,,,,,,
10500,13,95,"Dougherty County, Georgia",Metropolitan,GA,Albany,,,,,,
10500,13,177,"Lee County, Georgia",Metropolitan,GA,Albany,,,,,,
10500,13,273,"Terrell County, Georgia",Metropolitan,GA,Albany,,,,,,
10500,13,321,"Worth County, Georgia",Metropolitan,GA,Albany,,,,,,
10540,41,43,"Linn County, Oregon",Micropolitan,OR,Albany,Lebanon,,,,,
10580,36,1,"Albany County, New York",Metropolitan,NY,Albany,Schenectady,Troy,,,,
10580,36,83,"Rensselaer County, New York",Metropolitan,NY,Albany,Schenectady,Troy,,,,
10580,36,91,"Saratoga County, New York",Metropolitan,NY,Albany,Schenectady,Troy,,,,
10580,36,93,"Schenectady County, New York",Metropolitan,NY,Albany,Schenectady,Troy,,,,
10580,36,95,"Schoharie County, New York",Metropolitan,NY,Albany,Schenectady,Troy,,,,
10620,37,167,"Stanly County, North Carolina",Micropolitan,NC,Albemarle,,,,,,
10660,27,47,"Freeborn County, Minnesota",Micropolitan,MN,Albert Lea,,,,,,
10700,1,95,"Marshall County, Alabama",Micropolitan,AL,Albertville,,,,,,
10740,35,1,"Bernalillo County, New Mexico",Metropolitan,NM,Albuquerque,,,,,,
10740,35,43,"Sandoval County, New Mexico",Metropolitan,NM,Albuquerque,,,,,,
10740,35,57,"Torrance County, New Mexico",Metropolitan,NM,Albuquerque,,,,,,
10740,35,61,"Valencia County, New Mexico",Metropolitan,NM,Albuquerque,,,,,,
10760,1,37,"Coosa County, Alabama",Micropolitan,AL,Alexander City,,,,,,
10760,1,123,"Tallapoosa County, Alabama",Micropolitan,AL,Alexander City,,,,,,
10780,22,43,"Grant Parish, Louisiana",Metropolitan,LA,Alexandria,,,,,,
10780,22,79,"Rapides Parish, Louisiana",Metropolitan,LA,Alexandria,,,,,,
10820,27,41,"Douglas County, Minnesota",Micropolitan,MN,Alexandria,,,,,,
10860,48,249,"Jim Wells County, Texas",Micropolitan,TX,Alice,,,,,,
10880,26,5,"Allegan County, Michigan",Micropolitan,MI,Allegan,,,,,,
10900,34,41,"Warren County, New Jersey",Metropolitan,PA,Allentown,Bethlehem,Easton,,,,
10900,42,25,"Carbon County, Pennsylvania",Metropolitan,PA,Allentown,Bethlehem,Easton,,,,
10900,42,77,"Lehigh County, Pennsylvania",Metropolitan,PA,Allentown,Bethlehem,Easton,,,,
10900,42,95,"Northampton County, Pennsylvania",Metropolitan,PA,Allentown,Bethlehem,Easton,,,,
10940,26,57,"Gratiot County, Michigan",Micropolitan,MI,Alma,,,,,,
10980,26,7,"Alpena County, Michigan",Micropolitan,MI,Alpena,,,,,,
11020,42,13,"Blair County, Pennsylvania",Metropolitan,PA,Altoona,,,,,,
11060,40,65,"Jackson County, Oklahoma",Micropolitan,OK,Altus,,,,,,
11100,48,11,"Armstrong County, Texas",Metropolitan,TX,Amarillo,,,,,,
11100,48,65,"Carson County, Texas",Metropolitan,TX,Amarillo,,,,,,
11100,48,375,"Potter County, Texas",Metropolitan,TX,Amarillo,,,,,,
11100,48,381,"Randall County, Texas",Metropolitan,TX,Amarillo,,,,,,
11140,13,249,"Schley County, Georgia",Micropolitan,GA,Americus,,,,,,
11140,13,261,"Sumter County, Georgia",Micropolitan,GA,Americus,,,,,,
11180,19,169,"Story County, Iowa",Metropolitan,IA,Ames,,,,,,
11220,36,57,"Montgomery County, New York",Micropolitan,NY,Amsterdam,,,,,,
11260,2,20,"Anchorage Municipality, Alaska",Metropolitan,AK,Anchorage,,,,,,
11260,2,170,"Matanuska-Susitna Borough, Alaska",Metropolitan,AK,Anchorage,,,,,,
11300,18,95,"Madison County, Indiana",Metropolitan,IN,Anderson,,,,,,
11340,45,7,"Anderson County, South Carolina",Metropolitan,SC,Anderson,,,,,,
11380,48,3,"Andrews County, Texas",Micropolitan,TX,Andrews,,,,,,
11420,18,151,"Steuben County, Indiana",Micropolitan,IN,Angola,,,,,,
11460,26,161,"Washtenaw County, Michigan",Metropolitan,MI,Ann Arbor,,,,,,
11500,1,15,"Calhoun County, Alabama",Metropolitan,AL,Anniston,Oxford,,,,,
11540,55,15,"Calumet County, Wisconsin",Metropolitan,WI,Appleton,,,,,,
11540,55,87,"Outagamie County, Wisconsin",Metropolitan,WI,Appleton,,,,,,
11580,12,27,"DeSoto County, Florida",Micropolitan,FL,Arcadia,,,,,,
11620,40,19,"Carter County, Oklahoma",Micropolitan,OK,Ardmore,,,,,,
11620,40,85,"Love County, Oklahoma",Micropolitan,OK,Ardmore,,,,,,
11660,5,19,"Clark County, Arkansas",Micropolitan,AR,Arkadelphia,,,,,,
11700,37,21,"Buncombe County, North Carolina",Metropolitan,NC,Asheville,,,,,,
11700,37,87,"Haywood County, North Carolina",Metropolitan,NC,Asheville,,,,,,
11700,37,89,"Henderson County, North Carolina",Metropolitan,NC,Asheville,,,,,,
11700,37,115,"Madison County, North Carolina",Metropolitan,NC,Asheville,,,,,,
11740,39,5,"Ashland County, Ohio",Micropolitan,OH,Ashland,,,,,,
11780,39,7,"Ashtabula County, Ohio",Micropolitan,OH,Ashtabula,,,,,,
11820,41,7,"Clatsop County, Oregon",Micropolitan,OR,Astoria,,,,,,
11860,20,5,"Atchison County, Kansas",Micropolitan,KS,Atchison,,,,,,
11900,39,9,"Athens County, Ohio",Micropolitan,OH,Athens,,,,,,
11940,47,107,"McMinn County, Tennessee",Micropolitan,TN,Athens,,,,,,
11980,48,213,"Henderson County, Texas",Micropolitan,TX,Athens,,,,,,
12020,13,59,"Clarke County, Georgia",Metropolitan,GA,Athens,Clarke County,,,,,
12020,13,195,"Madison County, Georgia",Metropolitan,GA,Athens,Clarke County,,,,,
12020,13,219,"Oconee County, Georgia",Metropolitan,GA,Athens,Clarke County,,,,,
12020,13,221,"Oglethorpe County, Georgia",Metropolitan,GA,Athens,Clarke County,,,,,
12060,13,13,"Barrow County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,15,"Bartow County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,35,"Butts County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,45,"Carroll County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,57,"Cherokee County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,63,"Clayton County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,67,"Cobb County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,77,"Coweta County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,85,"Dawson County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,89,"DeKalb County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,97,"Douglas County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,113,"Fayette County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,117,"Forsyth County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,121,"Fulton County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,135,"Gwinnett County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,143,"Haralson County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
12060,13,149,"Heard County, Georgia",Metropolitan,GA,Atlanta,Sandy Springs,Marietta,,,,
