CBSA_name,CBSA_code,cntrlcnty,cntrlcntyfips,PrincipleCity,PrincipleCityStateFIPS,PrinCityFIPS,PrinCityLat,PrinCityLon
"Abilene, TX Metropolitan Statistical Area",10180,"Taylor County, TX",48441,Abilene city,48,4801000,32.448736,-99.733144
"Akron, OH Metropolitan Statistical Area                                         ",10420,"Summit County, OH",39153,Akron city,39,3901000,41.081445,-81.519005
"Albany, GA Metropolitan Statistical Area                                        ",10500,"Dougherty County, GA",13095,Albany city,13,1301052,31.578507,-84.155741
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area                       ",10580,"Albany County, NY",36001,Albany city,36,3601000,42.652579,-73.756232
"Albuquerque, NM Metropolitan Statistical Area                                   ",10740,"Bernalillo County, NM",35001,Albuquerque city,35,3502000,35.084491,-106.651137
"Alexandria, LA Metropolitan Statistical Area                                    ",10780,"Rapides Parish, LA",22079,Alexandria city,22,2200975,31.311294,-92.4451
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area                 ",10900,"Lehigh County, PA",42077,Allentown city,42,4202000,40.60843,-75.490183
"Altoona, PA Metropolitan Statistical Area                                       ",11020,"Blair County, PA",42013,Altoona city,42,4202184,40.518681,-78.394738
"Amarillo, TX Metropolitan Statistical Area                                      ",11100,"Potter County, TX",48375,Amarillo city,48,4803000,35.221997,-101.831297
"Ames, IA Metropolitan Statistical Area                                          ",11180,"Story County, IA",19169,Ames city,19,1901855,42.02335,-93.6256
"Anchorage, AK Metropolitan Statistical Area                                     ",11260,"Anchorage Municipality, AK",2020,Anchorage municipality,2,203000,61.218056,-149.900278
"Anderson, IN Metropolitan Statistical Area                                      ",11300,"Madison County, IN",18095,Anderson city,18,1801468,40.10532,-85.680254
"Anderson, SC Metropolitan Statistical Area                                      ",11340,"Anderson County, SC",45007,Anderson city,45,4501360,34.503439,-82.650133
"Ann Arbor, MI Metropolitan Statistical Area                                     ",11460,"Washtenaw County, MI",26161,Ann Arbor city,26,2603000,42.270872,-83.726329
