totalfirms,size,job_birth,job_continue,job_destruction,year,lat,long,city,state
4504694,0,7875379,10858420,13041794,1977,,,,
16209,0,18731,40530,42012,1977,32401025,-99811409,Abilene, TX
22830,0,32040,28140,46640,1977,31608206,-84165665,Albany, GA
67440,0,114368,117408,182808,1977,35205259,-106712986,Albuquerque, NM
8408,0,7984,12200,17812,1977,31262083,-92476589,Alexandria, LA
4348,0,5106,6052,8366,1977,40479391,-78383313,Altoona, PA
39235,0,59460,69840,98930,1977,35183020,-101860330,Amarillo, TX
13910,0,34656,39332,86760,1977,61191900,-149762097,Anchorage, AK
36532,0,44360,57264,83632,1977,35652020,-82566254,Asheville, NC
12033,0,18980,23754,27926,1977,35296023,-118683344,Bakersfield, CA
4532,0,3912,6604,15200,1977,44833502,-68756626,Bangor, ME
146430,0,251316,386226,388548,1977,30430091,-91051757,Baton Rouge, LA
4126,0,6372,5020,7580,1977,48830987,-122400928,Bellingham, WA
16743,0,23766,27750,36396,1977,45816535,-108460718,Billings, MT
15100,0,19232,26328,36060,1977,42142695,-76018803,Binghamton, NY
13196,0,16600,20040,26896,1977,46850519,-100912175,Bismarck, ND
8176,0,9340,10428,20428,1977,39161997,-86540369,Bloomington, IN
50750,0,85260,152520,132790,1977,43581847,-116438071,Boise City, ID
3496,0,4634,5806,11352,1977,44550169,-73146898,Burlington, NC
3818,0,5600,7388,6088,1977,42918965,-106453302,Casper, WY
23379,0,30492,34638,50634,1977,42029994,-91630559,Cedar Rapids, IA
29865,0,51096,159402,94536,1977,38375285,-81668904,Charleston, WV
25536,0,30768,34284,247032,1977,38024839,-78482829,Charlottesville, VA
76326,0,120816,159144,252768,1977,35015474,-85296429,Chattanooga, TN-GA
2650,0,4184,3896,6156,1977,41196199,-104762083,Cheyenne, WY
20146,0,33372,28780,46672,1977,38865444,-104748828,Colorado Springs, CO
7614,0,9748,8904,14444,1977,38989761,-92313387,Columbia, MO
177732,0,283512,324072,463656,1977,38989761,-92313387,Columbia, SC
16570,0,21380,22560,45700,1977,39974014,-82905954,Columbus, GA-AL
4376,0,6728,12152,10672,1977,39974014,-82905954,Columbus, IN
728680,0,1551280,2387880,2307400,1977,39974014,-82905954,Columbus, OH
34362,0,51054,51516,84756,1977,27811767,-97464192,Corpus Christi, TX
2343,0,3662,2340,3986,1977,44547364,-123330289,Corvallis, OR
6792,0,7276,7188,18408,1977,39566663,-78839658,Cumberland, MD-WV
3346,0,3376,4404,8812,1977,36754822,-79400549,Danville, IL
6624,0,9516,9524,11116,1977,36754822,-79400549,Danville, VA
13656,0,17760,19616,36888,1977,39853136,-88953227,Decatur, AL
8732,0,12784,16860,23668,1977,39853136,-88953227,Decatur, IL
12480,0,12882,21174,31116,1977,31259924,-85440832,Dothan, AL
3123,0,3822,5012,6258,1977,39092714,-75560273,Dover, DE
3479,0,3288,7342,6176,1977,42476090,-90822022,Dubuque, IA
8728,0,10140,12924,17992,1977,44893660,-91368383,Eau Claire, WI
24278,0,40900,44892,93172,1977,31770159,-106351813,El Paso, TX
3070,0,4882,8010,10508,1977,42129017,-76790266,Elmira, NY
8674,0,13444,16634,23330,1977,42052025,-80056979,Erie, PA
12108,0,24456,17480,41400,1977,35056213,-78907247,Fayetteville, NC
2253,0,3552,4176,4570,1977,35919406,-111563871,Flagstaff, AZ
22804,0,24056,28296,52056,1977,34809570,-87661757,Florence, SC
27752,0,37960,140920,61512,1977,35404373,-94442208,Fort Smith, AR-OK
33300,0,48558,89652,89730,1977,41028663,-85157958,Fort Wayne, IN
17962,0,24698,31898,38856,1977,36713694,-119925531,Fresno, CA
3088,0,3626,4758,6976,1977,34018597,-86032125,Gadsden, AL
9444,0,15032,11116,22032,1977,29676436,-82379953,Gainesville, FL
2681,0,4214,13820,4578,1977,29676436,-82379953,Gainesville, GA
7146,0,12952,9700,15632,1977,43368665,-73594302,Glens Falls, NY
2997,0,3500,5048,5072,1977,35364712,-77995343,Goldsboro, NC
7628,0,10180,9100,13104,1977,47834558,-96841690,Grand Forks, ND-MN
3460,0,5424,4784,7974,1977,39095228,-108509096,Grand Junction, CO
3445,0,5886,18204,6142,1977,47433941,-111324241,Great Falls, MT
22956,0,29388,41628,49020,1977,44493492,-88032769,Green Bay, WI
3137,0,2974,4882,6766,1977,35589908,-77391082,Greenville, NC
9246,0,14448,16314,19296,1977,31239888,-89356078,Hattiesburg, MS
13686,0,23816,28156,37340,1977,34754424,-86712087,Huntsville, AL
7256,0,8712,9636,13400,1977,41674915,-91568871,Iowa City, IA
13113,0,26226,22812,34614,1977,42237635,-84404455,Jackson, MI
248976,0,344988,573084,605016,1977,42237635,-84404455,Jackson, MS
28584,0,43236,49878,63090,1977,42237635,-84404455,Jackson, TN
237010,0,380460,586640,750980,1977,34709586,-77373135,Jacksonville, FL
4358,0,6012,4372,9464,1977,34709586,-77373135,Jacksonville, NC
5236,0,5688,18172,12378,1977,40260625,-78884658,Johnstown, PA
6736,0,8904,10160,12072,1977,35828198,-90631993,Jonesboro, AR
9824,0,12908,18596,21248,1977,37061268,-94396202,Joplin, MO
693532,0,1296176,1635760,2059260,1977,39053555,-94522177,Kansas City, MO-KS
144414,0,192384,237420,363942,1977,35917137,-83940698,Knoxville, TN
3311,0,7844,7500,6588,1977,40423928,-86101490,Kokomo, IN
68870,0,122580,141980,213560,1977,40372461,-86745453,Lafayette, LA
11000,0,17984,20236,22576,1977,30237442,-93291757,Lake Charles, LA
12317,0,13780,23234,28822,1977,40067670,-76281219,Lancaster, PA
2986,0,4576,3338,7262,1977,27591807,-99389849,Laredo, TX
2574,0,4492,3802,5950,1977,32274123,-106781670,Las Cruces, NM
2165,0,3140,2720,3606,1977,38927006,-95256048,Lawrence, KS
6032,0,6380,8492,11112,1977,34633961,-98423460,Lawton, OK
4094,0,8060,5458,9584,1977,40674882,-84176901,Lima, OH
15622,0,24444,32012,42988,1977,40796701,-96681392,Lincoln, NE
27183,0,39924,40950,71796,1977,33570085,-101852068,Lubbock, TX
36120,0,28380,175272,77076,1977,37345470,-79294102,Lynchburg, VA
33845,0,49340,62660,83530,1977,32720028,-83652271,Macon, GA
56760,0,71352,89680,114200,1977,43071496,-89393668,Madison, WI
4245,0,5144,9014,11298,1977,40791142,-82670894,Mansfield, OH
