msa,firms,fsize,fage4,job_creation_births,job_creation_continuers,job_destruction,year2
10180,450,m,a,2707,0,0,1977
10180,2323,m,l,866,6755,7002,1977
10420,1317,m,a,8285,0,0,1977
10420,8282,m,l,5715,22973,30136,1977
10500,352,m,a,2047,0,0,1977
10500,1930,m,l,1157,2814,4664,1977
10580,1390,m,a,10296,0,0,1977
10580,9884,m,l,5186,22509,28456,1977
10740,1731,m,a,10401,0,0,1977
10740,6690,m,l,3895,14676,22851,1977
10780,283,m,a,1442,0,0,1977
10780,1817,m,l,554,3050,4453,1977
10900,1277,m,a,7377,0,0,1977
10900,9043,m,l,7181,23861,27696,1977
11020,256,m,a,1722,0,0,1977
11020,1917,m,l,831,3026,4183,1977
11100,670,m,a,4386,0,0,1977
11100,3248,m,l,1560,6984,9893,1977
11180,205,m,a,1229,0,0,1977
11180,1035,m,l,334,1961,1847,1977
11260,839,m,a,5701,0,0,1977
11260,2628,m,l,2963,9833,21690,1977
11300,249,m,a,1698,0,0,1977
11300,1748,m,l,641,2923,3973,1977
11340,258,m,a,1899,0,0,1977
11340,1641,m,l,696,3580,4252,1977
11460,569,m,a,4346,0,0,1977
11460,3171,m,l,2106,12412,9559,1977
11500,238,m,a,1597,0,0,1977
11500,1376,m,l,816,2527,4332,1977
11540,341,m,a,3049,0,0,1977
11540,2308,m,l,1179,4969,5446,1977
11700,712,m,a,4000,0,0,1977
11700,3852,m,l,1545,7158,10454,1977
12020,280,m,a,1617,0,0,1977
12020,1517,m,l,789,2841,3198,1977
12060,6420,m,a,41647,0,0,1977
12060,28147,m,l,45022,92415,129674,1977
12100,498,m,a,2152,0,0,1977
12100,3092,m,l,765,5181,8451,1977
12220,168,m,a,1071,0,0,1977
12220,780,m,l,1196,1362,1960,1977
12260,808,m,a,4168,0,0,1977
12260,4175,m,l,2287,8218,9899,1977
12420,1831,m,a,11143,0,0,1977
12420,7718,m,l,13091,21279,23548,1977
12540,1091,m,a,6977,0,0,1977
12540,4923,m,l,2513,11877,13963,1977
12580,4325,m,a,28231,0,0,1977
12580,25756,m,l,15963,67686,87924,1977
12620,325,m,a,1388,0,0,1977
12620,1940,m,l,568,3302,7600,1977
12700,541,m,a,2225,0,0,1977
12700,2826,m,l,626,4305,4966,1977
12940,1414,m,a,9470,0,0,1977
12940,6714,m,l,4492,21457,21586,1977
12980,236,m,a,1566,0,0,1977
12980,1914,m,l,1366,3613,5383,1977
13020,221,m,a,1103,0,0,1977
13020,1509,m,l,668,3807,3575,1977
13140,881,m,a,6718,0,0,1977
13140,4641,m,l,2813,12551,17098,1977
13380,412,m,a,2115,0,0,1977
13380,1649,m,l,1071,2510,3790,1977
13460,325,m,a,1447,0,0,1977
13460,1015,m,l,289,1913,2058,1977
13740,502,m,a,3010,0,0,1977
13740,2285,m,l,951,4625,6066,1977
13780,503,m,a,2903,0,0,1977
13780,3269,m,l,1905,6582,9015,1977
13820,2185,m,a,15801,0,0,1977
13820,11321,m,l,10252,32677,41804,1977
13900,282,m,a,1532,0,0,1977
13900,1367,m,l,543,2505,3362,1977
13980,269,m,a,1664,0,0,1977
13980,1381,m,l,764,3173,3727,1977
14020,336,m,a,1896,0,0,1977
14020,1706,m,l,439,2607,5107,1977
14060,314,m,a,1960,0,0,1977
14060,1643,m,l,1234,4297,4287,1977
14260,970,m,a,5468,0,0,1977
