Latitude,Longitude,city,state
32401025,-99811409,Abilene, TX 
18406152,-67128140,Aguadilla, PR 
31608206,-84165665,Albany, GA 
42794326,-73931642,Albany--Schenectady--Troy, NY 
35205259,-106712986,Albuquerque, NM 
31262083,-92476589,Alexandria, LA 
40679196,-75468105,Allentown--Bethlehem--Easton, PA 
40479391,-78383313,Altoona, PA 
35183020,-101860330,Amarillo, TX 
61191900,-149762097,Anchorage, AK 
33741989,-85817544,Anniston, AL 
44196886,-88445040,Appleton--Oshkosh--Neenah, WI 
35652020,-82566254,Asheville, NC 
33985949,-83341765,Athens, GA 
33807238,-84390300,Atlanta, GA 
32607485,-85328947,Auburn--Opelika, AL 
33536701,-81912765,Augusta--Aiken, GA--SC 
30297157,-97709408,Austin--San Marcos, TX 
35296023,-118683344,Bakersfield, CA 
44833502,-68756626,Bangor, ME 
41690786,-70224359,Barnstable--Yarmouth, MA 
30430091,-91051757,Baton Rouge, LA 
30071679,-94061676,Beaumont--Port Arthur, TX 
48830987,-122400928,Bellingham, WA 
41971239,-86426818,Benton Harbor, MI 
45816535,-108460718,Billings, MT 
30424462,-89000772,Biloxi--Gulfport--Pascagoula, MS 
42142695,-76018803,Binghamton, NY 
33540687,-86736443,Birmingham, AL 
46850519,-100912175,Bismarck, ND 
39161997,-86540369,Bloomington, IN 
40495251,-88883582,Bloomington--Normal, IL 
43581847,-116438071,Boise City, ID 
42414462,-71225928,Boston--Worcester--Lawrence, MA--NH--ME--CT 
26082987,-97557442,Brownsville--Harlingen--San Benito, TX 
30634948,-96341985,Bryan--College Station, TX 
42928057,-78806954,Buffalo--Niagara Falls, NY 
44550169,-73146898,Burlington, VT 
40784808,-81341058,Canton--Massillon, OH 
42918965,-106453302,Casper, WY 
42029994,-91630559,Cedar Rapids, IA 
40136824,-88216752,Champaign--Urbana, IL 
32920648,-80035237,Charleston--North Charleston, SC 
38375285,-81668904,Charleston, WV 
35261719,-80839478,Charlotte--Gastonia--Rock Hill, NC--SC 
38024839,-78482829,Charlottesville, VA 
35015474,-85296429,Chattanooga, TN--GA 
41196199,-104762083,Cheyenne, WY 
